,name,BUSNAME,address_admin,PropAddr,APN,ACCOUNT,BUSTYPE,OWNER,APPRVALUE,ASSDVALUE,secondary_source,notes
1209,Lonnie's western Room,615 WINE CELLAR,300 CHURCH ST,300 CHURCH ST,9302316800,178540,Food Mfg,615 WINE CELLAR,1126540,337962,NA,NA
1210,Loveless Cafe,LOVELESS CAFE,8400 HIGHWAY 100,8400 HIGHWAY 100,16900001400,92724,Full Service Resturants,LOVELESS CAFE,772994,231898,NA,NA
1215,Martin's BBQ Joint - SOBRO,MARTIN`S BBQ JOINT,410 4TH AVE S,410 4TH AVE S,9310043700,169464,Full Service Resturants,MARTIN`S BBQ JOINT,591934,177580,NA,NA
1217,Miss Kelli's Karaoke Bar,MS KELLI`S,207 3RD AVE N 101,207 3RD AVE N 101,093023D00100CO,133827,Drinking Places (Alcoholic Bev,MS KELLI`S,32600,9780,NA,NA
1219,Moonlite Drive-in,NA,941 B MAIN ST,NA,082124D90000CO,NA,NA,NA,NA,NA,NA,NA
1220,Moxy Nashville,MOXY NASHVILLE DOWNTOWN,110 3RD AVE S,110 3RD AVE S,9306405700,177552,Economy Hotel,MOXY NASHVILLE DOWNTOWN,3881665,1164500,NA,NA
1221,NashHouse Southern Spoon and Saloon,NA,1222 DEMONBREUN ST,NA,093090E00100CO,NA,NA,NA,NA,NA,NA,NA
1223,Natl Museum of African American Music,REVV LLC,500 BROADWAY,500 BROADWAY,093063A00300CO,178389,General Retail,REVV LLC,21813,6544,NA,NA
1227,Patron Event Center,SILVERADO RIVERGATE SPORTS BAR + GRILL,709 RIVERGATE PKWY,709 RIVERGATE PKWY,2613006900,140003,Drinking Places (Alcoholic Bev,SILVERADO RIVERGATE SPORTS BAR + GRILL,9130,2739,NA,NA
1228,Play Dance Bar,PLAY,1517 CHURCH ST,1517 CHURCH ST,9212036500,128535,Drinking Places (Alcoholic Bev,PLAY,56894,17068,NA,NA
1230,Primm's Appetit,LITTON CORNER MARKET,2830 GALLATIN PIKE,2830 GALLATIN PIKE,7210011500,84358,General Retail,HANA ANKI,7407,2222,NA,NA
1236,Puckett's Grocery & Restaurant Downtown,PUCKETT`S 5TH + CHURCH INC,201 REP JOHN LEWIS WAY N,201 REP JOHN LEWIS WAY N,9306104000,151781,Full Service Resturants,ANDREW MARSHALL,326692,98008,NA,NA
1242,Riverside Revival Nashville,NA,1600 RIVERSIDE DR,NA,7215018800,NA,NA,NA,NA,NA,NA,NA
1243,Robert's Western World,HONKY TONK INC,416 B BROADWAY,416 B BROADWAY,9306307600,100865,Drinking Places (Alcoholic Bev,"JONES, JESSIE",118578,35573,NA,NA
1244,Rosie's Twin Kegs,ROSIE`S TWIN KEGS,413 THOMPSON LN,413 THOMPSON LN,11909023900,96835,Drinking Places (Alcoholic Bev,TIA ROSE MIRENDA,79568,23870,NA,NA
1245,Rudy's Jazz Room,RUDY`S JAZZ ROOM LLC,600 9TH AVE S,600 9TH AVE S,9314055500,169510,Drinking Places (Alcoholic Bev,RUDY`S JAZZ ROOM LLC,85198,25559,NA,NA
1248,Ryman Auditorium,RYMAN AUDITORIUM,116 REP JOHN LEWIS WAY N,116 REP JOHN LEWIS WAY N,9306307100,100003,Musical Groups + Artists,"RHP HOTEL OPERATIONS HOLDCO, LLC",3696178,1108853,NA,NA
1249,Sambuca (Restaurant),NASHVILLE URBAN PARTNERS 2000 / MERCURY VIEW LOFTS,1209 PINE ST,1209 PINE ST,9313010400,127313,Apts WO/Clubhouse,"NASHVILLE URBAN PARTNERS 2000, LLC",200931,60279,NA,NA
1254,Scoreboard Restaurant & Sports Bar,MURRELL JANSEN INC,2416 MUSIC VALLEY DR,2416 MUSIC VALLEY DR,6200023300,102152,Drinking Places (Alcoholic Bev,DIANA JANSON,79568,23870,"[
 {
   ""name"": ""Scoreboard Restaurant & Sports Bar"",
   ""BUSNAME"": ""TENNESSEE SONGWRITERS ASSOC INTERNATIONAL"",
   ""address_admin"": ""2416 MUSIC VALLEY DR"",
   ""PropAddr"": ""2416 MUSIC VALLEY DR"",
   ""APN"": 6200023300,
   ""ACCOUNT"": 165377,
   ""BUSTYPE"": ""Office Administrative Services"",
   ""OWNER"": ""TENNESSEE SONGWRITERS ASSOC INTERNATIONAL"",
   ""APPRVALUE"": 1000,
   ""ASSDVALUE"": 300
 },
 {
   ""name"": ""Scoreboard Restaurant & Sports Bar"",
   ""BUSNAME"": ""MUSIC VALLEY RECORDING STUDIOS"",
   ""address_admin"": ""2416 MUSIC VALLEY DR"",
   ""PropAddr"": ""2416 MUSIC VALLEY DR"",
   ""APN"": 6200023300,
   ""ACCOUNT"": 163931,
   ""BUSTYPE"": ""Sound Recording Studios"",
   ""OWNER"": ""MUSIC VALLEY RECORDING STUDIOS"",
   ""APPRVALUE"": 11123,
   ""ASSDVALUE"": 3337
 }
]",multiple music venues possible
1280,Shamblin Theater,LIPSCOMB UNIVERSITY CAMPUS STORE,1 UNIVERSITY PARK DR,1 UNIVERSITY PARK DR,11716016300,181902,Book Stores + News Dealers,LIPSCOMB UNIVERSITY CAMPUS STORE,44027,13208,NA,NA
1281,Sidebar Nashville,HOWELL PARK PARTNERS LLC,401 B PRESIDENT RONALD REAGAN WAY,401 B PRESIDENT RONALD REAGAN WAY,093100A00100CO,174615,Extended Stay Hotel,HOWELL PARK PARTNERS LLC,557494,167248,NA,NA
1283,Skull's Rainbow Club,"LUKE VENTURE, LLC",222 4TH AVE N,222 4TH AVE N,9302316000,171252,Full Service Resturants,SKULLS RAINBOW ROOM,599268,179780,NA,NA
1284,Skydeck on Broadway,NA,600 B BROADWAY,NA,093063A00500CO,NA,NA,NA,NA,NA,NA,NA
1290,Snitch,4 PANT LLC,210 4TH AVE N,210 4TH AVE N,9306105700,175130,Full Service Hotel,4 PANT LLC,8780629,2634189,"[
 {
   ""name"": ""Snitch"",
   ""BUSNAME"": ""DREAM NASHVILLE"",
   ""address_admin"": ""210 4TH AVE N"",
   ""PropAddr"": ""210 4TH AVE N"",
   ""APN"": 9306105700,
   ""ACCOUNT"": 175568,
   ""BUSTYPE"": ""Full Service Hotel"",
   ""OWNER"": ""DREAM NASHVILLE"",
   ""APPRVALUE"": 0,
   ""ASSDVALUE"": 0
 }
]",hotel
1292,Sobro Sports Bar and Grill (Hilton Garden Inn Downtown),SOBRO BEVERAGE LICENSE COMPANY LLC,419 3RD AVE S,419 3RD AVE S,9310043100,170693,Limited Service-Fast Food,SOBRO BEVERAGE LICENSE COMPANY LLC,0,0,NA,NA
1293,Sonny's Patio Pub and Refuge,GERMANTOWN BAR,1318 6TH AVE N,1318 6TH AVE N,8209005400,171234,Drinking Places (Alcoholic Bev,"DANIEL, WAYNE B",79568,23870,"[
 {
   ""name"": ""Sonny's Patio Pub and Refuge"",
   ""BUSNAME"": ""JKB RESTAURANT GROUP LLC"",
   ""address_admin"": ""1318 6TH AVE N"",
   ""PropAddr"": ""1318 6TH AVE N"",
   ""APN"": 8209005400,
   ""ACCOUNT"": 181955,
   ""BUSTYPE"": ""Full Service Resturants"",
   ""OWNER"": ""TY HAUTER"",
   ""APPRVALUE"": 152467,
   ""ASSDVALUE"": 45740
 }
]",multiple music venues possible
1295,Springwater Supper Club & Lounge,SPRINGWATER,2701 POSTON AVE,2701 POSTON AVE,10403000400,87694,Drinking Places (Alcoholic Bev,WILLIAM TERRY CANTRELL,4555,1367,NA,NA
1297,Tennessee Performing Arts Center,DIPPIN DOTS LLC,301 REP JOHN LEWIS WAY N,301 REP JOHN LEWIS WAY N,9302300700,181996,General Retail,DIPPIN DOTS LLC,21288,6386,NA,NA
1298,The Back Corner,5TH + TAYLOR,1401 5TH AVE N,1401 5TH AVE N,8112041500,163556,Full Service Resturants,5TH + TAYLOR,252970,75891,NA,NA
1300,The Big Bang Dueling Pianos,THE WHISKEY SHOT,209 3RD AVE N,209 3RD AVE N,9302316600,179793,Drinking Places (Alcoholic Bev,THE WHISKEY SHOT,58309,17493,NA,NA
1302,The Blue Room at Third Man Records,THIRD MAN RECORDS,623 7TH AVE S,623 7TH AVE S,9314021600,146015,Sound Recording Studios,THIRD MAN RECORDS,288470,86541,NA,NA
1303,The Electric Jane,INFINITY MUSIC ROW LLC,1221 DIVISION ST,1221 DIVISION ST,9313058400,169423,Apts W/Clubhouse,INFINITY MUSIC ROW LLC,136726,41018,NA,NA
1312,The Goat,BILLY GOAT TAVERN TN LLC,1226 2ND AVE N,1226 2ND AVE N,8209037500,174442,Full Service Resturants,"ONE LIFESTYLE, LTD.",40681,12204,NA,NA
1315,The Nashville Palace,"NASHVILLE PALACE, THE",2611 A MCGAVOCK PIKE,2611 A MCGAVOCK PIKE,6200023700,143979,Full Service Resturants,"NASHVILLE PALACE, THE",45368,13610,NA,NA
1317,The Roadside Bar & Grill,ROADSIDE BAR + GRILL,4617 OLD HICKORY BLVD,4617 OLD HICKORY BLVD,7509015400,152375,Drinking Places (Alcoholic Bev,ROADSIDE BAR + GRILL,15313,4594,NA,NA
1318,Twelve Keys Saloon,NA,4719 ANDREW JACKSON PKWY,NA,6416001100,NA,NA,NA,NA,NA,NA,NA
1320,Up a roof top lounge,VISION NASHVILLE GULCH LLC,901 DIVISION ST,901 DIVISION ST,9314056700,162420,Full Service Hotel,VISION NASHVILLE GULCH LLC,550419,165126,NA,NA
