name,address_admin,APN,description
Cross-Eyed Critters Watering Hole,101 20TH AVE N,09216004000,"Sure, you’ve done karaoke. But have you done karaoke with an animatronic backup band? Hop on stage at Cross-Eyed Critters Watering Hole and belt it out with our trio of robotic musicians. Our divey karaoke joint offers ice-cold drinks and an outdoor taco trailer to fuel late nights. This is where all your Music City dreams come true."
Crow's Nest,2221 BANDYWOOD DR,11714012500,"A unique dining, drink and intimate live music experience located in the heart of Music City's ""Hillsboro Village"" in Nashville, Tennessee."
Dawg House Saloon,1522 DEMONBREUN ST,09309025900,"Upbeat sports bar & live-music venue serving creative hot dogs, pizza & other familiar pub grub."
Decker & Dyer,807 CLARK PL,09310003200,"Premium, upscale, approachable bar with live music."
Dee's Country Cocktail Lounge,102 E PALESTINE AVE,05108011200,A 70s inspired country bar only 10 minutes from downtown Nashville
Dierks Bentley's Whiskey Row Nashville,400 BROADWAY,09306308200,An American gastropub only a two minute walk from the Ryman auditorium.
Doc Holidays,112 2ND AVE N,09306208400,"Featuring a Wild West theme, this bi-level bar with a spiral staircase regularly hosts live music."
Dream Nightclub,210 4TH AVE N,09306105700,"Dream Nashville is a hotel and entertainment venue located in Nashville, Tennessee. It offers a unique and luxurious experience with a focus on music and entertainment"
Drkmttr Collective,1111 DICKERSON PIKE,08203000500,DIY music venue and artist space for all ages
Drury Plaza Hotel Nashville Downtown-Bar,300 KOREAN VETERANS BLVD,09310039700,
ERGO,1001 BROADWAY,09309032600,"Now open in the historic lobby of The Union Station Nashville Yards, ERGO features small plates and hand-crafted cocktails with made-in-Tennessee ingredients. Try our take on classics, like the Union Station Manhattan, while enjoying live music every Thursday, Friday, and Saturday night."
Famous Nashville,110 2ND AVE N,09306208500,Multi-level honky tonk with a rooftop bar hosting live music daily & dishing out familiar plates of southern eats
Flamingo Cocktail Club,509 HOUSTON ST,10503018500,"Laid-back bar with a sustainable focus offering seasonal cocktails, live music & art exhibitions."
Frist Center for the Visual Arts,919 BROADWAY,09309031000,Non profit visual arts center with rotational art exhibits and educational programs with occasional live music events
Grand Ole Opry,2804 OPRYLAND DR,07300003700,"Historic roots, center of Nashville's music scene and country music itself."
Grimey's New & Preloved Music,1060 E TRINITY LN,07206022000,"Nashville's premier independent record store specializing in vintage, pressed recordings, CDs & cassette tapes featuring free instore music performances"
Helen's Hot Chicken,1801 JEFFERSON ST,09203023800,Hot chicken restaurant. Black-owned restaurant.
HOME (Helping Our Music Evolve),615 MAIN ST,08216000400,Community-space: a music industry support hub where creators come first
HOME (Helping Our Music Evolve),615 MAIN ST,06405003400,Community-space: a music industry support hub where creators come first
Honky Tonk Central,329 BROADWAY,09306401500,Bustling 3-story gathering place featuring pub eats & live country music all day long.
Hubba Hubba Tiki Tonk,922 MAIN ST,08212031200,"Hubbly Bubbly Tiki Tonk is a bar in Nashville, Tennessee that offers a unique tiki bar experience. It is a casual spot for locals and tourists alike to enjoy tropical drinks, good food, and a lively atmosphere. **do they have shows here? Can't find evidence of it on social or website. - KH"
Inglewood Lounge,3914 GALLATIN PIKE,06115023500,"It is a bar and lounge located in downtown Nashville, Tennessee. It offers a range of services, including drinks, snacks. The lounge also hosts live music performances and special events."
Island Vibes,1316 ANTIOCH PIKE,13415000500,"The best  Caribbean Restaurant and Lounge in Nashville, serving 
the most authentic Caribbean cuisine with great entertainment and music 
from Reggae, R&B, Soca and Hip-Hop. Join us every Friday for Old 
School R&B nights and Saturday for Island Vibes Saturdays!"
Jefferson Street Jazz Street Festival,1215 9TH AVE N,08116021300,"The Jefferson Street Jazz & Blues Festival is an annual music festival that takes place in Nashville, Tennessee, in the United States. The festival celebrates the rich musical history of Jefferson Street, which was once a thriving hub for African American music in the city."
Jimmy Buffett's Margaritaville,322 BROADWAY,09306400100,A casual theme bar with daily live music & a menu of Caribbean & seafood fare
Joe's Place,2227 BANDYWOOD DR,11714012300,"Local spot in Green Hills with good beer and great people. Events do not seem to be live music, but karaoke and dance parties."
Johnny Cash's Kitchen & Saloon,121 3RD AVE S,09306403100,The traditional Southern Meat and Three restaurant
Kid Rock's Big Honky Tonk Rock N' Roll Steakhouse,221 BROADWAY,09306404100,"Grilled meats, burgers & cocktails in a buzzing, cavernous hub with live music & a rooftop bar.
"
L27 Rooftop Lounge,807 CLARK PL,09310003200,"Twenty-seven floors high above Nashville’s bustling downtown,
L27 is the city’s ideal retreat to unwind, sip, and, savor. Featuring live music performances and DJs. 21+ only. "
La Costa Mexican Seafood,5332 CANE RIDGE RD,16300027400,La Costa Mexican Seafood is a Mexican Seafood Grill and bar with karoke nights and live music.
Larry's Grand Ole Garage,549 E MAPLE ST,04314003600,"A live music venue in an old garage and transmission shop featuring blue grass music, offering free admission"
Las Fogatas,5560 NOLENSVILLE PIKE,16100030500,Homey Mexican restaurant serving up large portions of familiar dishes in a relaxed setting.
Layla's Honky Tonk,418 BROADWAY,09306307500,"Vintage license plates line the ceiling of this lively, intimate bar hosting live bluegrass bands."
Live Oak,1530 DEMONBREUN ST,09313001000,Live music venue and bar in the Gulch featuring live bands and writers rounds.
Los Arcos,3798 NOLENSVILLE PIKE,13300011600,"Family-friendly, casual Mexican restaurant offering a full bar & outdoor patio seating."
Loser Most Wanted Bar & Grill (Midtown),111 4TH AVE S,09306400800,"Losers Downtown brings a country dive bar experience with wonderful artists and bands performing all day, every day."
Lou|Na,1000 BROADWAY,09309034300,Lou/na ascends as the newest and most glamorous rooftop bar and lounge accompanied by live music and breathtaking scenery overlooking downtown Nashville.
Lucky Bastard Saloon,408 BROADWAY,09306308000,"Lucky Bastard Saloon is a bar and restaurant located in Nashville, Tennessee.
The establishment has a lively and casual atmosphere, with a focus on Southern-style cuisine, live music, and a variety of drinks.
"
Luke's 32 Bridge Food & Drink,301 BROADWAY,09306402700,"Spacious, late night destination offering 4 band stages, cocktails, American eats & a rooftop patio."
Marisqueria 7 Mares,931 RICHARDS RD,14800029500,Mexican Seafood Bar & Grill
Maxwell Lounge at Millenium Maxwell House Nashville,2025 ROSA L PARKS BLVD,08104022200,"A lively lounge bar in Nashville, Maxwell's Lounge is the spot for live entertainment, great food and a variety of cocktails."
"Mellow Mushroom 
(Broadway)",423 BROADWAY,09306310700,"Mellow Mushroom is a pizza restaurant chain with locations in several states, including Tennessee. Its known for its unique and fun atmosphere, with a funky, hippie-inspired decor that features colorful murals, vintage posters, and other eclectic accents."
Mickeys Tavern,2907 GALLATIN PIKE,07206023400,"Mickey's Tavern is a local bar located in the historic area of East Nashville in Nashville, Tennessee. It is a casual, laid-back establishment with a cozy atmosphere that attracts a diverse mix of locals and tourists. **NO SHOWS HERE - not a venue. Says it loud and clear on website. - KH

"
Music City Bar & Grill,2416 MUSIC VALLEY DR,06200023300,"Chill late-night hangout featuring live country music, pub grub & draft beer, plus a covered patio."
Music City Center,201 REP JOHN LEWIS WAY S,09310047300,A large convention complex located in downtown Nashville that hosts citywide conventions and large musical events
Music City Walk of Fame Park,121 4TH AVE S,093064B00100CO,Star-studded pavement honoring Nashville music legends alongside the Nashville Music Garden featuring induction ceremonies and live music performances
Musicians Corner,2500 WEST END AVE,09214007600,"Since 2010, Musicians Corner has provided free public access to live music in the heart of Music City. Located in beautiful Centennial Park, the series generally takes place in May / June and September each year. "
Nashville Farmers' Market,900 ROSA L PARKS BLVD,08213036600,The farmers market in Nashville hosts a vibrant mix of local and visiting musicians even featuring music buskers if space allows
Nashville Jazz Workshop,1012 BUCHANAN ST,08107051800,"Nashville's community center for jazz, with classes, public performances, and special events. The Nashville Jazz Workshop is a non-profit organization supporting jazz musicians, jazz fans, and the jazz community"
Nashville Municipal Auditorium,417 4TH AVE N,09302001300,"The Nashville Municipal Auditorium is an indoor sports and concert venue in Nashville, Tennessee, which also houses the Musicians Hall of Fame and Museum. Constructed in 1962, the Auditorium was the first public assembly facility in the Mid South with ai"
Nashville Nightlife Theater,2416 MUSIC VALLEY DR,06200023300,Large dinner theater featuring a homestyle buffet & performances by acclaimed country-music artists
Nashville Underground,105 BROADWAY,09306210100,"Owned by singer-songwriters Gavin and Joey DeGraw, this 4-level venue serves fried chicken, live music & beers."
Nashville's War Memorial Auditorium,301 6TH AVE N,09301008100,"The War Memorial Auditorium is a 2,000-seat performance hall located in Nashville, Tennessee. Built in 1925, it served as home of the Grand Ole Opry during 1939-43. It is also known as the War Memorial Building, the Tennessee War Memorial, or simply the"
Nectar Urban Cantina,206 MCGAVOCK PIKE,09504003100,"Nectar Cantina is a restaurant and bar located in Nashville, Tennessee that serves Mexican-inspired cuisine and a variety of drinks."
Neighbors of Sylvan Park,4425 MURPHY RD,10308005400,Neighborhood Sports and Entertainment Bar with live music peformances.
Nissan Stadium,1 TITANS WAY,09303006600,Multipurpose stadium daily used for the Tennessee Titans as their home field but also for concerts and the CMA Music festival each June
Noble's East Nashville,974 MAIN ST,08309019300,"Noble's East Nashville is a bar and restaurant located in downtown Nashville, Tennessee. It offers a range of services, including drinks, snacks, traditional straight razor shaves, and live music performances."
Nudie's Honky Tonk,409 BROADWAY,09306400600,"This long-running, multi-level hangout features live music & a roadhouse vibe, plus a rooftop bar."
Old Glory,1200 VILLA PL,10501023300," Old Glory is a specialty cocktail bar that's located in an old 1920s boiler room in Nashville, Tennessee's Edgehill Village neighborhood."
Ole Red,300 BROADWAY,09306202900,"Multi-level entertainment venue inspired by Blake Shelton's hit ""Old' Red"" featuring a two-story bar and restaurant, retail area, performance space, and dance floor."
Opry Backstage Grill,2401 MUSIC VALLEY DR,06200002900,Rustic dishes with roots in the Tennessee hills & live country music in a fun & lively atmosphere.
Out Loud Music Festival,14 JAMES ROBERTSON PKWY,08215006700,"OUTLOUD Music Festival was created in 2017 to celebrate LGBTQI+ and ally musicians/artists. The festival creates a fun, energetic, and diverse line up that celebrates equality. "
Oz Arts Nashville,6172 COCKRILL BEND CIR,07900009400,"Contemporary arts center that's housed in a newly renovated former cigar warehouse featuring a modern, flexible performance and installation space"
Phat Bites Deli & Bar,2730 LEBANON PIKE,09601001000,"Phat Sandwiches, Wraps, Salads, Bongo Java Coffee, Espresso, Bar, Live Music, Open Mic, Karaoke and more!"
Plaza Mariachi,3955 NOLENSVILLE PIKE,13315015400,"A tourist and entertainment center that includes an art gallery, a Mariachi Hall of Fame, live Mariachi music as well as shopping"
Ray Stevens CabaRay,5724 RIVER RD,10200001200,"A Vegas-style Cabaret Showroom in Nashville walls decorated as an homage to the producers, musicians, songwriters, and artists who made Nashville �Music City� with live music and a full dinner service"
Red Door Saloon,1816 DIVISION ST,09216022300,"Down-home bar and music venue  offering drinks, hot dogs, steamed sandwiches & more with optional outdoor seating "
Red Door Saloon East,1010 FORREST AVE,08309012700,"Down-home bar and music venue  offering drinks, hot dogs, steamed sandwiches & more with optional outdoor seating "
Redneck Riviera,208 BROADWAY,09306211100,"Raucous destination featuring cocktails, brews & BBQ meals, plus nightly live music & a rooftop bar."
Renaissance Nashville Hotel-Bridge Bar,611 COMMERCE ST,09306311900,"Contemporary lounge features an eclectic array of live music, a 42-ft. bar & views of Nashville."
Rippy's Smokin' Bar & Grill,429 BROADWAY,09306310400,Top Golf
Rocketown (Main Building),601 4TH AVE S,09310038100,"A multi-faceted oasis for youth comprised of three music venues featuring faith based music, a skatepark, a coffee bar, various after-school programs, and weekly outreach events"
Santa's Pub,2225 BRANSFORD AVE,10515006000,"Bar and Karaoke in Nashville, serving up cold beer and karaoke for 10 years. House band on Sundays but live music otherwise is sparse."
Schermerhorn Symphony Center,1 SYMPHONY PL,09306406200,"The home of the Nashville Symphony, this venue is located across from the Country Music Hall of Fame and Museum featuring classical, jazz and world music"
Sheraton Downtown Nashville,623 UNION ST,09305201600,Hotel in downtown Nashville featuring live music in their lounge and restaurant
Sinema,2600 8TH AVE S,11802026300,"Hosts a variety of live music performances, from jazz and blues to folk and rock. The venue also offers a full bar and restaurant, making it a great spot to enjoy live music and drinks."
Solberg Studios,1618 JEFFERSON ST,08115059500,Solberg Studios is Nashville's newest Collaborative Audio and Video Studio Space.
Southern Grist Brewing East Nashville,754 DOUGLAS AVE,07116030200,A neighborhood brewery operating taprooms in East Nashville featuring live music events
Star Rover Sound,1400 ADAMS ST,08205017200,"Nashville neighborhood restaraunt serving margaritas, live music and a classic honky tonk snack bar. "
Symphony Lounge at Hilton Nashville Downtown,121 4TH AVE S,093064B00100CO,"It is located in the atrium lobby, and offers a range of drinks, snacks, and live music performances."
TailGate Brewery East,811 GALLATIN AVE,08305018200,A brewery with taprooms offering a rotating beer list and live music
TailGate Brewery Music Row,1538 DEMONBREUN ST,09313000800,A brewery with taprooms offering a rotating beer list and live music
Tailgate Brewery-HQ,7300 CHARLOTTE PIKE,11400013700,Substantial revenue from restaurant or bar outside of live music
Tennessee Brew Works,809 EWING AVE,09314033500,"Beers brewed on-site offered in an industrial taproom with oak barrel tables, a patio & live music."
Tequila Cowboy,305 BROADWAY,09306402600,"Buzzy, multi-roomed nightspot featuring a live music stage, dance club, game area and mechanical bull."
Texas Troubadour Theatre,2416 MUSIC VALLEY DR,06200023300,"An intimate and historically rich venue for audiences who enjoy listening to live traditional country music, featuring many legendary country artists and up and coming performers"
The 5 Spot,1006 FORREST AVE,08309013000,The 5 Spot is East Nashville's live music venue and hang out.
The Basement East,1604 8TH AVE S,10506019900,"The Basement is a cozy live music venue with a spacious patio hosting an array of alternative, rock & indie artists."
The Bowery Vault,2905 GALLATIN PIKE,07210001400,"The Bowery Vault is where music and fashion lovers can shop, drink and listen to original live music in an intimate setting."
The Cobra,2511 GALLATIN AVE,07213009300,"An eclectic bar and entertainment venue with live music of almost every genre almost every night in the venue. Billiards, arcade games, and pinball in the game room and darts in the main bar."
The Countrypolitan Bar & Kitchen (inside Hotel Indigo),301 UNION ST,09302315200,"Chic hotel lobby lounge with upscale pub food, plus a full bar with craft beer selections."
The Cowan,500 COWAN ST,08210006200,"A two-story live performance venue with a capacity of over 600; featuring a state-of-the-art sound and light system, an open floor plan & a balcony with limited seating"
The District Bar & Kitchen (Hotel Indigo Downtown),315 UNION ST,09302315100,"Restaurant serves seasonal local and regional fare, craft cocktails, local small batch beers, and nightly live music."
The Donelson Pub,945 ALLEN RD,09613015301,
The East Room,2412 GALLATIN AVE,07213039000,"The East Room is a down-to-earth performance space showcasing rock bands, comedy nights, theater & dance parties."
The Eighth Room,2106 8TH AVE S,10510029900,"When you enter The Eighth Room, you are on the 'inside' both literally and figuratively; immersed within a living, breathing art piece that envelops you in a cocoon of luxury, style, and good vibes. At its heart... our bar."
The End,2219 ELLISTON PL,09215017100,The End is Nashville’s premier small-capacity Rock N Roll dive bar. The End has played host to several of the world’s finest and most raucous bands over quite a long time and still provide a small club experience like nowhere else you’ll find.
The Fisher Center for the Performing Arts,2020 BELMONT BLVD,10416041400,"Located at the heart of Belmont University’s campus, the Fisher Center is an artistic catalyst for engagement, inspiration, and discovery. The new performance hall adds another jewel to Music City’s crown of world-class venues as it caters to diverse audiences with major concerts and events while also supplying Belmont students with an exceptional learning and performing environment. "
The Hampton Social,201 1ST AVE S,093064C00100CO,"Known for our lively dining experiences featuring exceptional coastal-inspired food, cocktails and live music in a beautifully designed atmosphere."
The Lipstick Lounge,1400 WOODLAND ST,08309041700,"Gay-friendly, all-are-welcome bar with karaoke, trivia & dancing plus pub grub in a bright setting."
The Listening Room,618 4TH AVE S,09311024500,"A songwriter-oriented venue with great food, event space and more."
The Local Distro,614 GARFIELD ST,08108041400,"The Local Distro is focused on community, and they are a collective hub for food and spirits + music. Operating Tuesday – Saturday 10am to 7pm, with lineups of special events for local artists and community classes."
The Local Nashville,110 28TH AVE N,10403000500,A neighborhood bar with a full kitchen and love music.
The Office Nashville,604 GALLATIN AVE,08305012900,Live Music Venue
The Parthenon,2500 WEST END AVE,09214007600,"The Parthenon in Nashville, Tennessee, is a full-scale replica of the original Parthenon in Athens, Greece. The Parthenon is also a popular event space, hosting weddings, private parties, and other special events."
The Row Kitchen & Pub,110 LYLE AVE,09216013400,"Signature burgers, seafood & 20+ Southern draft beers served in a rustic-chic space with live music."
The Rum Room,2116 MEHARRY BLVD,09203005800,
The Second Fiddle,420 BROADWAY,09306307400,Music mementos adorn the brick walls of this cozy honky-tonk offering drinks & live country tunes.
The Stage on Broadway,412 BROADWAY,09306307800,Honky-tonk featuring live country bands & a dance floor by a large mural depicting music icons
The Station Inn,402 12TH AVE S,09313058100,"The Station Inn is a listening room in the heart of Nashville, featuring the world’s best bluegrass, roots, classic country, and Americana."
The Stillery (Downtown),113 2ND AVE N,09306204900,"The kind of place you can relax, eat outstanding, fresh food, and enjoy a signature mason jar cocktail. We serve up amazing brick fired pies, juicy stacked burgers, fresh salads and tantalizing starters."
The Underdog,3208 GALLATIN PIKE,07206023800,"East Nashville, Inglewood neighborhood bar. Affordable drinks with a laid back atmosphere. Live music. "
The Valentine,312 BROADWAY,09306400500,"Prohibition-era themed, four-story upscale saloon & music venue with light American eats & signature cocktails"
The Vinyl Lounge,1414 3RD AVE S,10507043500,"Brought to you by the owners of The VinyLab, this is the only spot where you can grab a drink while also watching vinyl record presses in action. Our unique and spacious modern industrial space makes the perfect Music City event venue."
Thirsty Turtle Sports Grill,1307 BELL RD,16200029000,The Thirsty Turtle is a family-friendly restaurant and bar. They also host Karaoke every friday and Saturday night. They also host latin music night every Thursday.
Tin Roof Broadway,316 BROADWAY,09306201200,Unpretentious shotgun shack bar & music venue with creative takes on American pub food.
Tootsie's Orchid Lounge,422 BROADWAY,09306307300,This historic watering hole and prototypical honky-tonk is across the alley from the Ryman.
Tootsie's Orchid Lounge (Nashville Intl. Airport),1 TERMINAL DR,10700005000,"Spinoff of the historic Nashville honky tonk featuring drinks, live music & eats."
Tribe,1515 CHURCH ST,09212036400,"Cocktails & delicious pub food are served at this lively gay lounge with pool tables, a dance floor, streaming music videos, and themed nights."
TRUE Music Room and Bar (Cambria Hotel & Suites),118 8TH AVE S,09310048900,"Hotel eatery, poolside bar and concert venue with seasonal small plates and skyline views."
Twin Kegs II,327 HERMITAGE AVE,09413005100,"One of the oldest bars in South Nashville a tiny, old-school watering hole with a picket-fence patio serving burgers & featuring live music - all ages until 9 PM"
Urban Cowboy Public House Bar,1603 WOODLAND ST,08310018500,"Its  a bar and lounge located in the Urban Cowboy Boutique Hotel downtown Nashville. It offers drinks, snack and  also hosts live music performances and special events"
Van Gogh's Ear Wine Bar,1112 WOODLAND ST,08309017500,Van Gogh Wine Bar have live music on the weekends and offer line dance lessons and two-step instruction for bachelorette parties.
Vinyl Tap,2038 GREENWOOD AVE,08303006400,"Chill music-centric watering hole with craft brews, updated bar fare & vinyl records for sale in East Nashville, featuring live music events"
WannaB's Karaoke Bar,305 BROADWAY,09306402600,"Part of the Tequila Cowboy and TC Restaurant Group, WannaB’s Karaoke Bar is an immersive, interactive musical experience with professional sound complete with an elevated stage and lighting. The KJs are professional DJs and singers. "
Whiskey Bent Saloon,306 BROADWAY,09306202700,"It is a bar located in downtown Nashville, Tennessee. It is known for its great drinks, live music, and casual atmosphere. Features lively bands, Broadway's largest specialty bourbon/whiskey selection, the only iced down beer on the street, no smoking, and extra friendly service. Our bands play a mixture of country and classic rock."
Wildhorse Saloon,120 2ND AVE N,09306208100,"Southern food, live-music acts, multiple bars & free nightly dance lessons in a 3-story space."
Winners Bar & Grill,1913 DIVISION ST,09216025500,Lively restaurant & bar serving American comfort food & featuring live bands performing weekly.
Yee Haw Brewing Co.,423 6TH AVE S,09310018800,"Yee Haw Brewing Co. is a craft brewery located in Nashville, Tennessee. It was founded in 2018 with the goal of bringing a unique and quality beer experience to the city of Nashville.
he brewery also frequently hosts events, live music performances, and food truck pop-ups, making it a popular gathering spot for the local community.
"
Zanies Comedy Showplace Nashville,2025 8TH AVE S,10510018300,Local acts & famous comedians share the stage at this longtime comedy club with an open-mike showcase featuring local musicians as musical guests
Ascend Amphitheater,310 1ST AVE S,09306004100,An open air event venue on the Cumberland River in Nashville inside Metro Riverfront Park that is operated by Live Nation
"CE gallery
(WEHO and/or Madison location)",425 CHESTNUT ST,10503017100,A multi-media studio that curates avant-garde experiences with the arts & holistic community. Speakeasy inspired contemporary & performance arts studio. Minority-owned space.
Cheekwood Botanical Garden and Museum of Art,111 CHEEK RD,12912013400,Botanical garden and art museum located on the historic Cheek estate which hosts seasonal festivals with live music
City Winery Nashville,600 MIDDLETON ST,09314059200,"City Winery Nashville is a music venue, restaurant, and winery located in Nashville, Tennessee. It offers a unique and intimate setting for live music performances, as well as a wine bar and a full-service restaurant serving seasonal and locally-sourced cuisine. "
Deep Tropics (Music Festival),900 ROSA L PARKS BLVD,08213036600,"Deep Tropics is a music festival that takes place in Nashville, Tennessee. It is a celebration of electronic dance music (EDM) and features performances by a variety of artists and DJs, including both local and international talent. "
Delgado Guitars,919 C GALLATIN AVE,08301045500,"Delgado Guitars is a guitar shop (a maker or repairer of stringed musical instruments, especially guitars) based in Nashville, Tennessee. "
Drifters BBQ,1008 WOODLAND ST,08309021400,Family friendly BBQ joint with live music and an outdoor patio.
Eastside Bowl,1508 GALLATIN PIKE,05100018000,"Bowling Alley, Music Venue, Diner, Lounge, Arcade in an old K-Mart in Madison, TN"
Fanny's House of Music,1101 HOLLY ST,08309023600,"East Nashville's full service music store selling instruments, accessories and vintage clothing featuring live music events and offering professional music lessons for all ages"
GEODIS Park,0 RAINS AVE,10507037500,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
GEODIS Park,0 RAINS AVE,10507051900,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
GEODIS Park,0 RAINS AVE,10511033100,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
GEODIS Park,0 RAINS AVE,10511033000,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States."
Jane's Hideaway,403 GALLATIN AVE,08309000800,"Upbeat, brick-lined spot serving brunch, Southern comfort food & craft cocktails, plus nightly sets."
Lipscomb University Department of Theatre,1 UNIVERSITY PARK DR,11716016300,"The Lipscomb University Department of Theatre is a performing arts program within Lipscomb University in Nashville, Tennessee..
The theatre department at Lipscomb University produces a variety of plays and musicals each year, ranging from classic works to contemporary productions. The productions are directed and performed by students and faculty, as well as guest artists and professionals from the Nashville theatre community.
"
Little Harpeth Brewing,1 TERMINAL DR,10700005000,"Energetic brewery offering pints & flights of its own craft beers, plus live music events."
Marathon Music Works,1404 CLINTON ST,09208001800,A turn of the century auto factory converted into a unique music venue hosting concerts and private events
McNamara's Irish Pub,2740 OLD LEBANON PIKE,09601001600,Classic Gaelic tavern food with a variety of whiskeys & beers and live music. ** Same band every night - always Irish music
Mirror Mirror,2623 LEBANON PIKE,09504018600,"Retail Boutique, Tea House, Music & More"
Music Makers Stages at Delgado Guitars,919 A GALLATIN AVE,08301041800,"The Music Makers Stage is a small, intimate live event space with virtual capabilities."
Musicians Hall of Fame and Museum,417 4TH AVE N,09302001300,This museum honors notable Nashville musicians regardless of genre or instrument featuring private event spaces and live music events
Nashville Children's Theatre,700 PRESIDENT RONALD REAGAN WAY,09311019900,One of the oldest operating professional children's theatre companies in the U.S. featuring musical performances by children and their families
Tomato Art Fest,1106 WOODLAND ST,08309017800,"Tomato Art Fest has been uniting fruits and vegetables since 2004. The annual festival attracts people from all over with fun-themed art, local music, delicious food, costumes, wacky contests, shopping, kids activities, & more. "
Pearl Diver,1010 GALLATIN AVE,08301015500,Its a Bar with Live music Performances
Rebar at the Dam,3248 BLACKWOOD DR,09713003900,"Local bar with a small stage for live music & comedy acts, cheap food, sports TV & pool tables."
Rosemary and Beauty Queen (bar); Pink Spiders (band),1102 FORREST AVE,08309012500,Neighborhood food and drinks in East Nashville
The Ballad of Emerson Hall,2510 GALLATIN AVE,07213038300,"The Ballad of Emerson Hall is a music venue located in East Nashville's historic Emerson Hall. It offers a range of services, including drinks, snacks, live music performances, and traditional straight razor shaves. The venue also hosts special events and line dance lessons and two-step instruction for bachelorette parties."
The Bluebird Cafe,4104 A HILLSBORO PIKE,131020B00300CO,"The Bluebird Cafe is one of the world's preeminent listening rooms that has gained worldwide recognition as a songwriter's performance space where the ""heroes behind the hits"" perform their own songs; songs that have been recorded by chart-topping artist"
The Fairgrounds Nashville,0 RAINS AVE,10507037500,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
The Fairgrounds Nashville,0 RAINS AVE,10507051900,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
The Fairgrounds Nashville,0 RAINS AVE,10511033100,"The Fairgrounds Nashville, a versatile space in the heart of Music City, ideal for meetings, conferences, trade shows and special events of all sizes."
