"","name","address_admin","APN","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","url","zip","county","city","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","y","x","interdisciplinarity_ord","event_promotion_ord","community_focus_ord","creativity_ord","experimentation_ord","ownership_structure_ord","independent_booking_ord"
"11","Bar Sovereign","514 REP JOHN LEWIS WAY S","9310034700","","1. Yes","","3. Never","","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","Bar Sovereign is an eclectic cocktail bar known for trying to set itself apart from any other bar in Nashville.","","","(615) 244-3174","https://barsovereign.com","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1549939517944,-86.7744172681069,1,1,3,NA,3,1,0
"12","Barbershop Harmony Society","110 7TH AVE N","9306302800","Adrianna Flax","2. No","Null","3. Never","2. 5-10 Events per month","","","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","The headquarters of the Barbershop Harmony Society, that specialized in Barbershop - a non-profit that provides active programs in performance and music education","","","(615) 823-3993","https://www.barbershop.org/","37203","Davidson","Nashville","Barbershop","","","","","","","","","","","","","",36.1600819288919,-86.7808765196033,1,1,1,NA,1,0,0
"13","Barbershop Theater","4003 INDIANA AVE","9112021700","","2. No","","4. Information unavailable","","","1. Ticket sales","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","It is an affordable art space with a 50-75 seat house. It hosts performances from artists and theater companies from all around the Nashville area","","info@streettheatrecompany.org","(615) 306-6183","https://www.thebarbershoptheater.com/","37209","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1568154616949,-86.8346982245551,3,3,3,NA,1,0,0
"14","Barlines (Omni Nashville Hotel)","250 REP JOHN LEWIS WAY S","093100B00300CO","","2. No","Null","1. Always","2. 5-10 Events per month","2. 3-10 Years","","2. Not too likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Bar and music venue with jumbo flat screen TVs and music 7 days a week and an award-winning menu of delectable Southern-inspired dishes and hand-crafted Tennessee libations.","","","(615) 782-5300","https://www.omnihotels.com/hotels/nashville/dining/barlines","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1574506499472,-86.7756317707792,2,1,1,NA,1,0,1
"15","Big Jimmy's","109 2ND AVE N","9306204700","","2. No","","2. Sometimes","2. 5-10 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Big Jimmy's is a burger resturant that also has live music performances.","","","(615) 712-6059","https://www.bigjimmysburgers.com/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1621031575084,-86.7756227756532,1,1,1,NA,1,0,0
"16","Big Shotz","115 2ND AVE N","9306205000","","1. Yes","Null","4. Information unavailable","2. 5-10 Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","BigShotz provides locals and tourists live entertainment daily-a mix of country and southern rock and the lowest beer prices downtown.","","","(615) 244-9011","No website available","37201","Davidson","Nashville","Country & Sourthern Rock","","","","","","","","","","","","","",36.1623044890624,-86.7757626502771,1,1,1,NA,1,1,0
"17","Bobby's Idle Hour Tavern","9 MUSIC SQ S","10404013000","","1. Yes","49","2. Sometimes","2. 5-10 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely","","1.Not At All Likely","0","0","0","Bobby's Idle Hour Tavern is Nashville's premier Americana venue and main hang for some of the best songwriters in town.","","","(615) 726-0446","https://www.bobbysidlehour.com/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1465406716453,-86.7933100100686,1,3,2,NA,1,1,0
"18","Bongo Java After Hours Theatre","2007 BELMONT BLVD","10412028200","Eric Holt","1. Yes","Null","1. Always","2. 5-10 Events per month","4. 20+ Years","","3. Somewhat likely","4. Very Likely","3. Somewhat likely","4. Very Likely","","4. Very Likely","0","0","0","A small, intimate theater that operates above Nashville's oldest and treasured coffee house Bongo Java, hosting musical events, theatre, and workshops and classes for the Nashville community","","upstairs@bongoafterhours.com","(615) 777-2572","https://www.bongo.coffee/pages/bongo-java","37212","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1321772365265,-86.7958968469065,3,4,4,NA,4,1,1
"19","Bootleggers Inn","207 BROADWAY","9306404600","","1. Yes","75","2. Sometimes","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","An intimate moonshine bar located in the heart of Nashville that combines the history of prohibition with music.","","bootleggersinn@gmail.com","(615) 457-3983","https://www.bootleggersnashville.com/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1614668811981,-86.775272560589,2,4,3,NA,1,1,0
"20","Bowie's","174 3RD AVE N","9306200200","","1. Yes","598","2. Sometimes","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","4. Very Likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","Rock N Roll music venues and restaurant in downtown Nashville.","","info@bowiesnashville.com","(615) 953-7155","https://www.bowiesnashville.com/","37201","Davidson","Nashville","Rock","","","","","","","","","","","","","",36.1638786655697,-86.7771900843685,1,3,3,NA,3,1,0
"21","Bridgestone Arena","501 BROADWAY","9306000800","Eric Holt","2. No","20000","1. Always","1. 1-4 Events per month","4. 20+ Years","1. Ticket sales","3. Somewhat likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely","","2. Not too likely","0","0","0","Bridgestone Arena is a multi-purpose venue in downtown Nashville, Tennessee. Completed in 1996, it is the home of the Nashville Predators of the National Hockey League.","","","(615) 770-7800","https://www.bridgestonearena.com/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1591353948432,-86.778488782246,3,4,3,NA,2,0,1
"22","Cafe Coco","210 LOUISE AVE","9215010600","Eric Holt","1. Yes","Null","2. Sometimes","2. 5-10 Events per month","4. 20+ Years","4. Mixed/all of the above","3. Somewhat likely","2. Not too likely","2. Not too likely","4. Very Likely","","4. Very Likely","1","1","1","This funky coffeehouse is open around the clock & features music, munchies & patio seating.","","office@cafecoco.com","(615) 321-2626","https://cafecoco.com/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1519124334247,-86.8048933986249,3,2,4,NA,4,1,0
"23","Caney Fork River Valley Grille","2400 MUSIC VALLEY DR","6200011800","","1. Yes","Null","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","2. Not too likely","2. Not too likely","2. Not too likely","","1.Not At All Likely","0","0","0","Family friendly menu and live music.","","CaneyForkRestaurant.Nashville@Yahoo.com","(615) 724-1200","https://www.caneyforkrestaurant.com/","37214","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2176199269501,-86.6967520749508,2,2,2,NA,1,1,0
"24","Cannery Hall (to be opened)","1 CANNERY ROW","9314000200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1528900102878,-86.7803029695665,NA,NA,NA,NA,NA,0,0
"25","Carol Ann<92>s","407 MURFREESBORO PIKE","10601010900","Eric Holt","1. Yes","","4. Information unavailable","3. 11-20 Events per month","3. 11-20 Years","","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","0","0","0","Known for its peach cobbler, this homestyle standby also offers other Southern staples & live music. Minority-owned.","","","(615) 259-2551","https://www.facebook.com/CarolAnnsCafe/","37210","Davidson","Nashville","","","","","","","","","","","","","","",36.143954350951,-86.7488757222498,3,4,4,NA,4,1,0
"26","Chief's on Broadway","200 BROADWAY","9306204400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1619527296275,-86.7755247235497,NA,NA,NA,NA,NA,0,0
"27","Commodore Grille (Holiday Inn Vanderbilt)","2613 WEST END AVE","10403006300","","2. No","135","2. Sometimes","3. 11-20 Events per month","3. 11-20 Years","4. Mixed/all of the above","2. Not too likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Well known for it's nightly songwriter's nights, this hotel grille is a haven for singer/songwriters.","","","(615) 327-4707","No website available","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1445825015921,-86.8108302559451,2,3,3,NA,1,0,0
"28","Corner Bar at Elliston Place","2200 ELLISTON PL","9215011300","","1. Yes","","2. Sometimes","1. 1-4 Events per month","3. 11-20 Years","","1.Not At All Likely","1.Not At All Likely","2. Not too likely","1.Not At All Likely","","1.Not At All Likely","1","1","0","The Corner Bar at Elliston Place offers pool tables and darts and karaoke. Is the Midtown late-night spot","","","(615) 320-4979","No website available","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1518683047222,-86.8041904012834,1,1,1,NA,1,1,0
"29","Cross-Eyed Critters Watering Hole","101 20TH AVE N","9216004000","","2. No","","4. Information unavailable","2. 5-10 Events per month","3. 11-20 Years","","2. Not too likely","2. Not too likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Sure, you’ve done karaoke. But have you done karaoke with an animatronic backup band? Hop on stage at Cross-Eyed Critters Watering Hole and belt it out with our trio of robotic musicians. Our divey karaoke joint offers ice-cold drinks and an outdoor taco trailer to fuel late nights. This is where all your Music City dreams come true.","","info@graduatenashville.com","(615) 551-2700","https://www.graduatehotels.com/nashville/restaurant/cross-eyed-critters-watering-hole/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.151547131284,-86.7998395876304,2,2,1,NA,1,0,0
"30","Crow's Nest","2221 BANDYWOOD DR","11714012500","","1. Yes","","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","A unique dining, drink and intimate live music experience located in the heart of Music City's ""Hillsboro Village"" in Nashville, Tennessee.","","crowsnestgm@gmail.com","(615) 783-0720","https://www.crowsnestnashville.com/","37215","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1045236029655,-86.8187295121109,1,1,1,NA,1,1,0
"31","Dawg House Saloon","1522 DEMONBREUN ST","9309025900","","1. Yes","350","3. Never","2. 5-10 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Upbeat sports bar & live-music venue serving creative hot dogs, pizza & other familiar pub grub.","","PrivateEvents@coldbeerentertainment.com","(615) 864-7393","https://www.coldbeerentertainment.com/dawghouse-nashville/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1531461183899,-86.7903343994416,1,2,1,NA,1,1,0
"32","Decker & Dyer","807 CLARK PL","9310003200","","1. Yes","Null","3. Never","1. 1-4 Events per month","3. 11-20 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Premium, upscale, approachable bar with live music.","","","(629) 203-7586","","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1552214736199,-86.7804527666213,1,1,1,NA,1,1,0
"33","Dee's Country Cocktail Lounge","102 E PALESTINE AVE","5108011200","Marcus Dowling","1. Yes","Null","2. Sometimes","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","3. Somewhat likely","3. Somewhat likely","","3. Somewhat likely","0","0","0","A 70s inspired country bar only 10 minutes from downtown Nashville","Amy Dee Richardson","amy@deeslounge.com","(615) 852-8827","https://deeslounge.com/","37115","Davidson","Nashville","Country","","","","","","","","","","","","","",36.2488564896071,-86.7184944819131,2,4,3,NA,3,1,0
"34","Dierks Bentley's Whiskey Row Nashville","400 BROADWAY","9306308200","Marcus Dowling","1. Yes","Null","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","2. Not too likely","","1.Not At All Likely","0","0","0","An American gastropub only a two minute walk from the Ryman auditorium.","","info@dierkswhiskeyrow.com","(629) 203-7822","https://dierkswhiskeyrow.com/nashville-tn/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1611753321649,-86.7774760873477,1,2,2,NA,1,1,0
"35","Doc Holidays","112 2ND AVE N","9306208400","","1. Yes","Null","2. Sometimes","2. 5-10 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Featuring a Wild West theme, this bi-level bar with a spiral staircase regularly hosts live music.","","guitarboybuller@yahoo.com","(615) 953-2245","https://www.dochollidaysnashville.com/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1625265361214,-86.7750522603822,1,2,1,NA,1,1,0
"36","Dream Nightclub","210 4TH AVE N","9306105700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1642171540611,-86.7788674044819,NA,NA,NA,NA,NA,0,0
"37","Drkmttr Collective","1111 DICKERSON PIKE","8203000500","Adrianna Flax","1. Yes","Null","3. Never","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","4. Very Likely","4. Very Likely","4. Very Likely","","4. Very Likely","1","1","1","DIY music venue and artist space for all ages","Olivia Scibelli - Co owner","drkmttrvolunteers@gmail.com","(518) 396-0133","https://drkmttrcollective.com/","37207","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1909166111932,-86.7724870787995,3,4,4,NA,4,1,0
"38","Drury Plaza Hotel Nashville Downtown-Bar","300 KOREAN VETERANS BLVD","9310039700","","2. No","","4. Information unavailable","","1. 0-3 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","","","","(615)259-7881","https://www.druryhotels.com/locations/nashville-tn/drury-plaza-hotel-nashville-downtown?utm_campaign=gmb-website&utm_medium=organic&utm_source=google","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1578508253659,-86.773979294629,1,1,1,NA,1,0,0
"39","ERGO","1001 BROADWAY","9309032600","","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Now open in the historic lobby of The Union Station Nashville Yards, ERGO features small plates and hand-crafted cocktails with made-in-Tennessee ingredients. Try our take on classics, like the Union Station Manhattan, while enjoying live music every Thursday, Friday, and Saturday night.","Joanna Haplin","joanna.halpin@theunionstationnashvilleyards.com","(615) 726-1001","https://www.unionstationhotelnashville.com/eat-drink/ergo/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1573223471702,-86.7846676662486,1,1,1,NA,1,0,0
"40","Famous Nashville","110 2ND AVE N","9306208500","","1. Yes","Null","2. Sometimes","2. 5-10 Events per month","4. 20+ Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","3. Somewhat likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Multi-level honky tonk with a rooftop bar hosting live music daily & dishing out familiar plates of southern eats","","info@famousnashville.com","(615) 933-5000","https://famousnashville.com/","37201","Davidson","Nashville","Country","","","","","","","","","","","","","",36.1624631647424,-86.7750121502218,1,2,1,NA,1,1,0
"41","FGL House","120 3RD AVE S","9306405500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1608642679595,-86.7752057314528,NA,NA,NA,NA,NA,0,0
"42","Flamingo Cocktail Club","509 HOUSTON ST","10503018500","Eric Holt","1. Yes","","2. Sometimes","2. 5-10 Events per month","2. 3-10 Years","4. Mixed/all of the above","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","4. Very Likely","","4. Very Likely","0","0","0","Laid-back bar with a sustainable focus offering seasonal cocktails, live music & art exhibitions.","Angela Laino & Alexis Soler","Reservation@flamingococktailclub.com","(786) 942-8279","http://flamingococktailclub.com/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1427459525593,-86.7683298971658,3,3,4,NA,4,1,0
"43","Fort Houston (The Forge)","217 WILLOW ST","9312002700","","1. Yes","","3. Never","1. 1-4 Events per month","3. 11-20 Years","4. Mixed/all of the above","4. Very Likely","2. Not too likely","2. Not too likely","4. Very Likely","","4. Very Likely","0","0","0","Experiential Design + Fabrication + Activation
Non-Profit Makerspace and Gallery","Erin Hewgley","info@forthouston.com","(629) 777-5570","https://www.theforgenashville.org/","37210","Davidson","Nashville","","","","","","","","","","","","","","",36.1545318672447,-86.754730429038,4,2,4,NA,4,1,0
"44","Frist Center for the Visual Arts","919 BROADWAY","9309031000","Eric Holt","2. No","Null","2. Sometimes","1. 1-4 Events per month","4. 20+ Years","","4. Very Likely","3. Somewhat likely","2. Not too likely","2. Not too likely","","2. Not too likely","0","0","0","Non profit visual arts center with rotational art exhibits and educational programs with occasional live music events","","mail@FristArtMuseum.org","(615) 244-3340","https://fristartmuseum.org/","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1575195716683,-86.7836211063589,4,3,2,NA,2,0,0
"45","Glen Campbell Museum and Rhinestone Stage","111 BROADWAY","9306210000","Marcus Dowling","3. Information unavailable","Null","2. Sometimes","1. 1-4 Events per month","1. 0-3 Years","","2. Not too likely","2. Not too likely","2. Not too likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","The Glenn Campbell Museum and Rhinestone stage on historic Broadway and 2nd avenue. A home for music, history, and culture alike.","","info@glencampbellmuseum.com","(615) 258-5576","https://www.glencampbellmuseum.com/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1617099337122,-86.7747257028291,2,2,3,NA,1,0,0
"46","Grand Hyatt Nashville","1000 BROADWAY","9309034300","Adrianna Flax","2. No","","4. Information unavailable","","4. 20+ Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","","","sales.grandhyattnashville@hyatt.com","(615) 622-1234","https://www.hyatt.com/en-US/hotel/tennessee/grand-hyatt-nashville/bnarn","37203","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1582885457808,-86.7849326038148,1,1,1,NA,1,0,0
"47","Grand Ole Opry","2804 OPRYLAND DR","7300003700","Marcus Dowling","2. No","2,362","1. Always","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","3. Somewhat likely","","1.Not At All Likely","0","0","0","Historic roots, center of Nashville's music scene and country music itself.","","","(615) 871-6779","http://www.opry.com/","37214","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2065821817348,-86.6918672071492,2,4,3,NA,1,0,1
"48","Grimey's New & Preloved Music","1060 E TRINITY LN","7206022000","Eric Holt","1. Yes","120","2. Sometimes","2. 5-10 Events per month","3. 11-20 Years","","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","","3. Somewhat likely","0","1","0","Nashville's premier independent record store specializing in vintage, pressed recordings, CDs & cassette tapes featuring free instore music performances","","funky@grimeys.com","(615) 226-3811","https://www.grimeys.com/","37216","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.2033682490864,-86.7411023901006,3,3,3,NA,3,1,0
"49","Headquarters Beercade","114 2ND AVE S","9306405800","","2. No","","4. Information unavailable","","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","","1.Not At All Likely","0","0","0","Headquarters Beercade is a bar and arcade located in Nashville, Tennessee, that offers a unique blend of craft beer and classic arcade games.","","lauren@machinehospitality.com","(615) 942-7436","https://www.hq-nashville.com/","37201","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1614224141439,-86.774556137916,1,1,1,NA,1,0,0
"50","Helen's Hot Chicken","1801 JEFFERSON ST","9203023800","Eric Holt","1. Yes","","4. Information unavailable","1. 1-4 Events per month","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","4. Very Likely","","4. Very Likely","0","0","0","Hot chicken restaurant. Black-owned restaurant.","Jeremy Mallard","","(615) 964-7331","https://www.helenshotchicken.com/#","37208","Davidson","Nashville","No Genre Specifed","","","","","","","","","","","","","",36.1690725027122,-86.8072143887363,1,1,4,NA,4,1,0
